AppName,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,global_hit_rate,local_hit_rate,gst_requested_throughput,gld_throughput,local_memory_overhead,tex_cache_hit_rate,tex_cache_throughput,l2_tex_write_throughput,sysmem_write_throughput,shared_store_throughput,gst_efficiency,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,l2_utilization,ldst_fu_utilization,flop_dp_efficiency
rodinia_b+tree,1.0,0.968360505806,0.95381664143,0.0,0.18009459375,0.03125,0.687570910119,0.0,0.00274651875357,0.389003050369,0.0,0.625726202949,0.27606226798,0.00704069789111,0.0,0.0,0.225,0.0407054740454,0.035475445711,0.519929211367,0.0,0.514175729858,0.0390726758062,0.4,0.2,0.0
rodinia_heartwall,0.237173326545,0.804938229677,0.769819258741,0.0,0.2045969375,0.221788875,0.581831114039,0.0,0.0461222287816,0.752548384238,0.0,0.524259611448,0.257070369268,0.0492737809932,0.0,4.17109515463e-05,0.5534331,0.145052389779,0.186636462946,0.690187536989,0.0,0.0334225622101,0.0371133095008,0.6,0.2,8.54341107428e-06
cudasdk_convolutionFFT2D,1.0,1.0,0.998603169076,0.0,0.37294409375,0.27024909375,0.862636024762,0.0,0.434756945088,0.27142173168,0.0,0.534862257138,0.123620486848,0.25810339996,0.933333327741,0.12297549572,1.0,0.153410863785,0.304536239047,1.00249281522,0.794626888748,0.09634969909,0.387119078841,0.6,0.2,0.0
shoc_lev1BFS,1.0,0.897920516129,0.877429443796,0.0,0.11735259375,0.03085778125,0.826694271786,0.0,8.38796261199e-05,0.00288989274199,0.0,0.743072658935,0.0031481332585,0.000292937498454,0.106666672818,0.0,0.15415154,0.154879358917,0.17972169117,0.661860276661,0.0,0.0,0.07415210858,0.0,0.2,0.0
rodinia_lavaMD,1.0,0.776434126452,0.775018133419,0.0,0.567963375,0.78125,0.043404819789,0.0,0.00373189251447,0.0141370146189,0.0,0.0273947590299,0.00151395380205,0.00860853908052,0.0,0.00272951149887,0.25,0.00711562382034,1.01983773258,0.00120481197007,0.0,0.00669141676476,0.145139356759,0.0,0.2,0.929573351741
poly_gemm,1.0,1.0,0.999372294213,0.0,0.18756096875,0.125,0.670814492883,0.0,1.82079933405,1.00701892059,0.0,0.578836150746,0.517227560367,1.04952374504,0.0,0.0,1.0,0.0174146208152,0.0268742386061,0.976157297911,0.00402335819896,0.0,0.0233814895,1.8,0.2,0.0
rodinia_hybridsort,1.0,1.0,0.999399731631,0.0,0.29624321875,0.99684546875,0.575090683174,0.0,0.426095777964,0.215866471411,0.0,1.01568131658,0.215888772968,0.280172587127,0.0136533332819,0.0760035303796,1.0,0.145003863826,0.356074096453,0.969346161373,0.0498584654034,0.00565781105188,0.133544875826,0.4,0.2,0.0
cudasdk_MCEstimatePiInlineQ,1.0,1.0,0.963883583054,0.5,1.0,0.65416728125,0.27641113739,0.503454820853,0.0259136398984,0.405745235251,0.157037884669,0.138427406251,0.0204770802102,0.119503012964,0.0,0.000768653258482,0.125,0.00830385471215,0.195426285876,0.809263272606,1.00420080522,0.0118780338904,0.828196977567,0.4,0.2,0.0
cudasdk_MCEstimatePiInlineP,1.0,0.950155943226,0.920004523768,0.498531625,1.0,1.0,0.839896766622,0.518335829308,0.00225241464959,0.484541205167,0.528482162793,0.676869704385,0.266265754304,0.198188026471,0.200000002796,0.0214215938478,0.23214286,0.0307404333372,0.301337599612,0.775697583124,0.0460540267285,0.139196968253,0.192227680981,0.6,0.2,0.0
cudasdk_simpleCUFFTcallback,1.0,0.395684490323,0.394096865215,0.0,0.21875,0.078125,0.492934872935,0.0,0.000458870892789,0.000812428884933,0.0,0.300736758734,0.00015046918875,0.000376837073826,0.879999998322,0.00032828063774,1.0,0.918173306505,0.122187309467,0.183707610352,0.000149107475773,0.0149529768412,0.0987781623615,0.0,0.2,0.0
rodinia_dwt2d,1.0,1.0,0.959856630921,0.0,0.25,0.125,0.575090683174,0.0,0.673742564355,0.161073675229,0.0,0.526289319891,0.0465633248951,0.38835076777,0.133333330537,0.139130418298,1.0,0.306848235074,0.221042839076,0.541933133373,0.00188796662027,0.299613233095,0.136119018868,0.4,0.2,0.0
shoc_lev1reduction,1.0,0.994787138065,0.943639279165,0.0,0.25,0.03125,0.575090683174,0.0,0.000335518501893,0.609033740609,0.0,0.52577587203,0.0978113436607,0.000792068867549,0.573333336689,0.0858157420468,0.25,0.152745468026,0.353191212701,0.566674003769,0.0,0.0956210569951,0.0473384575834,0.0,0.2,0.117173254336
cudasdk_MCEstimatePiP,1.0,1.0,0.994732655647,0.0,1.0,0.41648246875,0.575090683174,0.0,0.475453597205,0.218744634589,0.0,0.522205672645,0.0702611535645,0.443541789964,0.546666664989,0.0580801012891,0.61787962,0.231871634092,0.338633209659,0.917731001676,0.0,0.217569576712,0.282012247837,0.4,0.4,0.0
cudasdk_dxtc,0.961461633859,0.960747829677,0.938173452237,0.0,0.24609375,0.03125,0.575090683174,0.0,0.000315782118211,0.0690855034857,0.0,0.524209129777,0.0221903827658,0.000729499692948,0.0,0.0652616173418,0.25,0.0939934466267,0.520270647663,0.119934414853,0.0,0.211141997225,0.0374763571015,0.0,0.6,0.0
shoc_lev1fft,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.353949084453,0.335024968882,0.0,0.0,0.107610597311,0.204019169889,0.626666666107,0.110820739406,1.0,0.081438750798,0.997708830972,0.698363782413,0.116133932078,0.11839295238,0.0298219150073,0.2,0.2,0.5038468929
parboil_bfs,0.935460691151,0.750203107097,0.734608101122,0.0,0.821879875,0.237281,0.396971089386,0.0,0.00191196205113,0.00620313873356,0.0,0.545625105297,0.00442334814367,0.006631032236,0.0,0.00332844292993,0.14073895,0.0560666831668,0.0970083031021,0.589221254196,0.0,0.858168381225,0.0294671619298,0.0,0.2,0.0
rodinia_backprop,1.0,0.999992670968,0.999992392258,0.0,0.2522300625,0.15624809375,0.671784486837,0.0,0.168183274082,0.188376232221,0.0,0.58553810841,0.07209262661,0.136860348752,0.0266666716998,0.1208038048,0.79999756,0.127069042438,0.256953214171,0.799383535656,0.0124921540935,0.195506214186,0.484941950612,0.2,0.4,0.280861651296
shoc_lev1md5hash,1.0,0.999999587097,0.987605781029,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06730769,0.0566902791963,0.257098107177,0.0,0.0,0.0,1.0852956866,0.0,0.2,0.0
rodinia_needle,1.0,0.371669006452,0.356240783807,0.0,0.16118421875,0.08984375,0.375569423164,0.0,0.0254847960987,0.0232663042361,0.0,0.375056757672,0.00418940436553,0.0211165408055,0.333333333333,0.0773062432263,0.69565217,0.24681600866,0.383484059084,0.222823345194,0.0,0.0917287280245,0.271525620607,0.0,0.2,0.0
parboil_sgemm,1.0,1.0,0.999364769052,0.0,0.25,0.125,0.575090683174,0.0,0.0164020129376,0.0562676023339,0.0,0.526289319891,0.0180732508284,0.0094542554594,0.173333331096,0.00192578229886,1.0,0.18152257986,0.399444003246,0.421616477628,0.0,0.0445607532058,0.0753060644013,0.0,0.2,0.0
cudasdk_simpleCUBLAS,1.0,1.0,0.985973574628,0.0,0.2189725625,0.09451496875,0.66840123985,0.0,0.0356975082731,0.31905057929,0.0,0.60097890024,0.0411750884016,0.0252798571189,0.0933333299779,0.0778949907969,0.81394222,0.549730874504,0.340448730864,0.0296027698025,0.0,0.232930832349,0.102156400689,0.0,0.2,0.0
cudasdk_concurrentKernels,1.0,0.546753775484,0.527970615908,0.0,0.0625,0.03125,0.0,0.0,7.40114355725e-06,3.16672547403e-05,0.0,0.736805047847,2.06938978623e-05,1.99083730589e-05,0.9733333283,0.000273438460587,0.25,0.400519117312,0.817984909277,0.144669917399,0.0,0.102501026229,0.0852222458763,0.0,0.2,0.0
cudasdk_fastWalshTransform,1.0,1.0,1.0,0.0,0.25,0.125,0.575090683174,0.0,0.462342588436,0.265067165454,0.0,0.526289319891,0.0851400303001,0.266498079075,0.0,0.732937440306,1.0,0.0408570275,0.226292729667,0.985085063214,0.036869221878,0.190013532654,0.233211306224,0.4,0.4,0.0
cudasdk_SobolQRNG,1.0,1.0,0.977318741348,0.0,0.25,0.125,0.575090683174,0.0,1.00584478431,0.0182351178145,0.0,0.526289319891,0.00585715126427,0.579777224878,0.0136533332819,0.00644944726084,1.0,0.0611351358162,0.637258446789,0.107840460367,0.000182893742302,0.14254587119,0.20289684033,0.6,0.2,0.0
cudasdk_eigenvalues,1.0,1.0,0.963453534035,0.0,0.25,0.13994565625,0.575090683174,0.0,7.40114355725e-06,0.000615873509379,0.0,0.526289319891,0.000197819632469,4.2660801542e-06,0.0,0.000434111803911,1.0,0.242066764647,0.418303764933,0.0044808548381,0.0,1.00000930563,0.127861531614,0.0,0.2,0.0
